Authors,Paper year,Year,Warming,Country,Sector,GDP Loss (%),Type,Region,Method,Warming - Original,Comment,Paper
JRC,2020,2050,1.5,Central South Europe,Coastal Floods,-0.024,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,1.5,Central South Europe,All,-0.084,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,2.0,Central South Europe,Energy,0.006,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,2.0,Central South Europe,Rivers floods,-0.16,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,2.0,Central South Europe,Coastal Floods,-0.04,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,2.0,Central South Europe,Agriculture,-0.01,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,2.0,Central South Europe,Droughts,-0.034,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,2.0,Central South Europe,All,-0.238,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,3.0,Central South Europe,Rivers floods,-0.26,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,3.0,Central South Europe,Coastal Floods,-0.17,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,3.0,Central South Europe,Agriculture,-0.09,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,3.0,Central South Europe,Droughts,-0.11,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,3.0,Central South Europe,Energy,-0.013,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
JRC,2020,2050,3.0,Central South Europe,All,-0.64,Grey literature,Europe,Final impacts (bottom-up + sector interactions),,,JRC 2020
Ademe,2023,2050,2.1,France,Extreme events in the rest of the world,-4.18,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
Ademe,2023,2050,2.1,France,Agriculture,-1.17,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
Ademe,2023,2050,2.1,France,Extreme events France,-0.4,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
Ademe,2023,2050,2.1,France,SLR and floods,-0.21,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
Ademe,2023,2050,2.1,France,Other,-0.36,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
Ademe,2023,2050,2.1,France,All,-6.32,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
Ademe,2023,2100,3.5,France,Extreme events in the rest of the world,-6.61,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
Ademe,2023,2100,3.5,France,Agriculture,-2.55,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
Ademe,2023,2100,3.5,France,Extreme events France,-0.47,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
Ademe,2023,2100,3.5,France,SLR and floods,-0.47,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
Ademe,2023,2100,3.5,France,Other,-0.6,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
Ademe,2023,2100,3.5,France,All,-10.7,Grey literature,France,Final impacts (bottom-up + sector interactions),,,Ademe 2023
